two moon dataset
# of data : 2000

x position	y_position	class
2.00537049	-0.7	1
0.727381327	-0.692052023	1
0.342102916	-0.68652712	1
0.262908218	-0.680537509	1
1.030841752	-0.664389106	1
1.31098255	-0.651079853	1
2.879650515	-0.611691888	1
0.701758447	-0.644919489	1
2.226809443	-0.598672556	1
2.559284248	-0.576587808	1
0.674610557	-0.622154333	1
2.249050811	-0.559878889	1
1.23234601	-0.585514467	1
2.143015001	-0.53871343	1
2.327071918	-0.518182708	1
1.655447073	-0.536881893	1
1.922585996	-0.512536888	1
0.708914971	-0.565744135	1
1.247609781	-0.527304729	1
1.504822252	-0.502301515	1
1.979565769	-0.461971221	1
3.057849869	-0.378722907	1
2.361850456	-0.411605335	1
2.432545142	-0.393329445	1
2.180567262	-0.399000128	1
0.219934631	-0.540867908	1
1.821027851	-0.403271751	1
0.640986924	-0.492241395	1
1.664672055	-0.394135563	1
0.267433984	-0.510930978	1
0.639252484	-0.46919057	1
2.938673634	-0.23657257	1
1.551810764	-0.361558726	1
1.625454872	-0.343237209	1
0.555294535	-0.447205324	1
0.918651208	-0.399555231	1
2.980658806	-0.156454881	1
2.496066427	-0.197861851	1
1.665457941	-0.283895121	1
1.216169095	-0.32821671	1
2.630825621	-0.139690298	1
0.682612322	-0.37812066	1
0.778053436	-0.357499412	1
1.55124576	-0.244049643	1
3.041901281	-0.025724961	1
3.015934966	-0.013895618	1
2.761815646	-0.035455356	1
1.072335297	-0.272342517	1
2.642000075	-0.024352279	1
0.953492784	-0.27231804	1
1.635923327	-0.155249387	1
0.332178691	-0.355075257	1
1.324672498	-0.184429919	1
2.797259224	0.073405003	1
1.984465071	-0.051088294	1
2.323992409	0.020486932	1
2.184224102	0.008987449	1
1.845648482	-0.039427335	1
2.595376795	0.110703861	1
1.452307176	-0.08954748	1
2.809083671	0.180131074	1
1.086795324	-0.139334879	1
2.283337044	0.106387605	1
0.83529441	-0.170959586	1
0.651216657	-0.199889364	1
0.638815206	-0.194425736	1
1.736510146	0.044736906	1
2.338463182	0.185099912	1
0.665167406	-0.164658216	1
2.307086732	0.205439097	1
2.057052439	0.163044892	1
2.535666745	0.284465801	1
2.90441367	0.383762327	1
0.466069612	-0.170452535	1
2.296874937	0.270977197	1
1.931335661	0.196745268	1
1.070250916	-0.000642929	1
2.438436063	0.346856078	1
0.354322981	-0.160707666	1
1.07298625	0.028804081	1
0.213285845	-0.182536128	1
1.504042765	0.160305824	1
2.089058102	0.325701952	1
0.758520657	-0.016601889	1
2.660913417	0.506581996	1
1.176593658	0.115159139	1
2.050597303	0.367539138	1
1.95453778	0.353633291	1
0.514478398	-0.042630974	1
0.732410804	0.027881138	1
0.503660373	-0.030017706	1
2.436852814	0.546684042	1
0.325419606	-0.067330907	1
0.223197191	-0.090826548	1
2.398670659	0.57861088	1
0.130120702	-0.105586085	1
0.263833395	-0.057294276	1
2.131403402	0.537867904	1
1.421283256	0.325420207	1
2.102730037	0.555873159	1
0.408938113	0.018495569	1
2.575036013	0.738286197	1
2.421997748	0.702702383	1
1.987741503	0.571666673	1
1.840845115	0.535102382	1
2.927106114	0.920194212	1
0.16601173	-0.019242019	1
2.302917773	0.735155814	1
1.984838035	0.63726835	1
2.633799997	0.882262449	1
2.112684339	0.710182143	1
0.287562475	0.059810603	1
1.257784652	0.423844905	1
2.631507391	0.944573783	1
0.488933589	0.157643661	1
0.325515509	0.10404394	1
1.492101653	0.55719069	1
1.30172227	0.49567849	1
2.391454077	0.930915815	1
0.161476214	0.070331192	1
0.29138695	0.128951749	1
2.808795342	1.143554744	1
0.155998483	0.089559257	1
0.68395563	0.31177045	1
2.59768297	1.10741899	1
2.262676088	0.984686849	1
0.318884998	0.186466237	1
0.872572514	0.427998049	1
2.065601478	0.94587414	1
2.591134672	1.185966951	1
2.746757301	1.269764839	1
0.575153755	0.337857064	1
1.798790327	0.88603912	1
0.299951267	0.233376414	1
0.572749705	0.363576901	1
0.942660594	0.539760756	1
2.068340166	1.063271477	1
0.509322711	0.361421987	1
1.779416706	0.958842744	1
0.508016913	0.378455855	1
1.694660647	0.946342122	1
2.054836538	1.130856655	1
0.669380083	0.482364935	1
0.240834517	0.285074023	1
2.250135592	1.270655359	1
1.441885341	0.890016686	1
0.203010376	0.290223716	1
1.264886365	0.827193515	1
2.070621511	1.243899185	1
0.132466418	0.278143064	1
1.45610179	0.961001886	1
1.101104665	0.791426621	1
0.378013396	0.428366709	1
2.617748618	1.606359975	1
2.255968658	1.433744775	1
2.197835571	1.419240597	1
2.206418362	1.439956838	1
2.074400227	1.385128132	1
1.186727188	0.919532943	1
1.254564599	0.968768779	1
0.406130041	0.51427617	1
0.296061473	0.462296728	1
2.166907283	1.516047365	1
1.198564327	0.987492785	1
2.345438628	1.650111184	1
0.263194406	0.478244585	1
1.60456271	1.258494028	1
0.33115409	0.534894398	1
2.496113788	1.807456741	1
0.56715354	0.691603981	1
2.120070791	1.621152961	1
1.938869906	1.529770051	1
2.223610656	1.716768199	1
2.072775622	1.64277377	1
0.400933698	0.640891942	1
2.312652575	1.823351032	1
0.419862243	0.671641785	1
1.153879682	1.138048254	1
0.146665076	0.519818848	1
0.120968142	0.51214621	1
0.384249257	0.687901703	1
1.288225503	1.275960597	1
1.87481524	1.66760263	1
1.188754641	1.238916178	1
0.741008856	0.959823915	1
0.539485972	0.838704129	1
1.230343865	1.306768848	1
0.110328417	0.573726922	1
1.297756035	1.379555934	1
0.251942668	0.686871182	1
0.308866971	0.73502727	1
0.23515723	0.694253415	1
-0.150717638	0.437534061	1
0.212469513	0.697389144	1
2.012160141	1.964839233	1
1.138235272	1.36771928	1
1.85004245	1.885839176	1
-0.090351891	0.51927736	1
1.877865831	1.940447798	1
0.586984312	1.025087283	1
1.645204273	1.806399592	1
0.669448759	1.108436802	1
-0.165118877	0.505179608	1
2.053233022	2.159220029	1
2.131109699	2.236220996	1
1.338554078	1.659658546	1
0.751549412	1.230920218	1
1.726975804	1.986572635	1
0.284074958	0.897865762	1
1.644148022	1.957876712	1
0.063648185	0.747565979	1
0.422512279	1.037542724	1
1.131482202	1.60669975	1
0.87138298	1.41567117	1
1.936258731	2.278194169	1
1.012758662	1.556568695	1
0.465511381	1.129272685	1
1.02637949	1.596862514	1
-0.249160796	0.568410874	1
1.213044302	1.7801835	1
1.325071248	1.888927581	1
0.72353325	1.404007979	1
0.439819857	1.179432016	1
0.832694763	1.523238952	1
1.802193804	2.361412503	1
-0.045558021	0.800583222	1
0.876968977	1.604241448	1
-0.049510491	0.816369756	1
1.754385668	2.398622039	1
1.766679453	2.429134306	1
-0.005787973	0.884118555	1
0.203800154	1.080409712	1
1.352401133	2.118750303	1
0.139010793	1.044789349	1
0.981216644	1.818508447	1
-0.056535593	0.888787371	1
0.462726098	1.375043358	1
-0.012899777	0.949244711	1
0.05517726	1.022904555	1
-0.184545479	0.809763368	1
0.290139517	1.265742369	1
1.025515638	1.974146249	1
1.399217944	2.346957783	1
0.144321754	1.163481459	1
1.66765516	2.644463371	1
0.001605624	1.048570909	1
0.040240903	1.097341756	1
0.575405271	1.634671382	1
0.403599888	1.479478292	1
0.942078028	2.029173767	1
-0.236041506	0.866419549	1
0.804561431	1.925119001	1
-0.366468098	0.753963174	1
0.079515417	1.218332278	1
0.486286286	1.648230918	1
1.244556158	2.44678367	1
0.331969276	1.517466748	1
0.017088011	1.201893042	1
0.821150023	2.060811416	1
0.465499845	1.701289548	1
1.118434345	2.412913506	1
0.596685428	1.872562328	1
1.265543148	2.611320884	1
-0.391814964	0.830713296	1
1.127298073	2.502158402	1
0.212418941	1.515325496	1
0.50809628	1.856925157	1
0.964841546	2.382343665	1
